gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic,ATC_Code,ATC_Category
UNIPROT:P25100,hgnc:280,ADRA1D,TdgClinicalTrial,14-Jan,,0.090738544,EPINEPHRINE,rxcui:3992,EPINEPHRINE,True,False,False,,
UNIPROT:P35367,hgnc:5182,HRH1,TdgClinicalTrial,14-Jan,,0.190258238,ORPHENADRINE,rxcui:7715,ORPHENADRINE,True,False,False,,
AFP,hgnc:317,AFP,NCI,14-Sep-17,,0.048146983,METHOTREXATE,rxcui:6851,METHOTREXATE,True,False,True,L01BA01,Antineoplastic agents
IODOTHYRONINE DEIODINASE TYPE I,hgnc:2883,DIO1,TTD,2020.06.01,,6.93882987,Propylthiouracil,rxcui:8794,PROPYLTHIOURACIL,True,False,False,,
GRIA4,hgnc:4574,GRIA4,ChEMBL,32,inhibitor,0.073909842,TOPIRAMATE,rxcui:38404,TOPIRAMATE,True,False,False,,
PIK3CA,hgnc:8975,PIK3CA,JAX-CKB,5-Jun-23,,0.024331705,Bevacizumab,rxcui:2046138,BEVACIZUMAB-AWWB,True,True,True,,
KDM5C,hgnc:11114,KDM5C,CIViC,5-Jun-23,,0.776053341,SUNITINIB,rxcui:357977,SUNITINIB,True,False,True,,
UNIPROT:Q13946,hgnc:8791,PDE7A,TEND,1-Aug-11,,3.370288794,DYPHYLLINE,rxcui:3714,DYPHYLLINE,True,False,False,R03DA02,Drugs for obstructive airway diseases
UNIPROT:Q13946,hgnc:8791,PDE7A,TEND,1-Aug-11,,3.370288794,DYPHYLLINE,rxcui:3714,DYPHYLLINE,True,False,False,,Xanthine Derivative (Bronchodilator)
HDAC8,hgnc:13315,HDAC8,DTC,5-Jun-23,,0.138580954,VALPROIC ACID,rxcui:11118,VALPROIC ACID,True,False,True,N03AG01,Antiepileptics
PTEN,hgnc:9588,PTEN,CGI,5-Jun-23,,0.032540719,Trastuzumab,rxcui:2103478,TRASTUZUMAB-DKST,True,True,True,,
PTGS1,hgnc:9604,PTGS1,ChEMBL,32,inhibitor,0.368625337,OXAPROZIN POTASSIUM,rxcui:660767,OXAPROZIN POTASSIUM,True,False,False,,
HTR3B,hgnc:5298,HTR3B,ChEMBL,32,inhibitor,0.192745274,ZIMELDINE HYDROCHLORIDE,ncit:C152955,ZIMELDINE HYDROCHLORIDE,True,False,False,,
AR,hgnc:644,AR,DTC,5-Jun-23,,0.005263257,OXYPHENBUTAZONE,rxcui:7816,OXYPHENBUTAZONE,True,False,False,,
UNIPROT:P08172,hgnc:1951,CHRM2,TdgClinicalTrial,14-Jan,,0.50844874,OXYBUTYNIN,rxcui:32675,OXYBUTYNIN,True,False,False,,
UNIPROT:P49019,hgnc:16824,HCAR3,TdgClinicalTrial,14-Jan,,3.276669661,NIACIN,rxcui:7393,NIACIN,True,False,False,,
UNIPROT:P48039,hgnc:7463,MTNR1A,TdgClinicalTrial,14-Jan,,16.85144397,RAMELTEON,rxcui:596205,RAMELTEON,True,False,False,,
UNIPROT:Q06432,hgnc:1405,CACNG1,TdgClinicalTrial,14-Jan,,0.460781671,NIMODIPINE,rxcui:7426,NIMODIPINE,True,False,False,,
INSR,hgnc:6091,INSR,ChEMBL,32,agonist,0.85478339,INSULIN ZINC SUSP BEEF,chembl:CHEMBL1201639,INSULIN ZINC SUSP BEEF,True,False,False,,
TUBA3E,hgnc:20765,TUBA3E,ChEMBL,32,inhibitor,0.031272563,ERIBULIN MESYLATE,rxcui:1045452,ERIBULIN MESYLATE,True,False,True,L01XX41,Antineoplastic agents
EHMT2,hgnc:14129,EHMT2,DTC,5-Jun-23,,0.002150673,CITALOPRAM,rxcui:2556,CITALOPRAM,True,False,False,,
RORC,hgnc:10260,RORC,DTC,5-Jun-23,,0.128217508,CHLOROTRIANISENE,rxcui:2397,CHLOROTRIANISENE,True,False,False,,
SCARB1,hgnc:1664,SCARB1,PharmGKB,5-Jun-23,,2.457502246,fenofibrate,rxcui:8703,FENOFIBRATE,True,False,False,,
SMN1,hgnc:11117,SMN1,NCI,14-Sep-17,,0.067022789,PHENYLBUTYRATE,rxcui:1546447,4-PHENYLBUTYRIC ACID,True,False,True,,
HTR2A,hgnc:5293,HTR2A,ChEMBL,32,inhibitor,0.145990232,MOLINDONE HYDROCHLORIDE,rxcui:7019,MOLINDONE,True,False,False,,
JAK2,hgnc:6192,JAK2,JAX-CKB,5-Jun-23,,0.073633026,Ribociclib,rxcui:1873916,RIBOCICLIB,True,False,True,,
AHR,hgnc:348,AHR,DTC,5-Jun-23,,0.037807727,NICLOSAMIDE,rxcui:7402,NICLOSAMIDE,True,False,False,,
CYP2D6,hgnc:2625,CYP2D6,PharmGKB,5-Jun-23,,0.019529819,nefazodone,rxcui:31565,NEFAZODONE,True,False,False,,
HPGD,hgnc:5154,HPGD,DTC,5-Jun-23,,0.008704258,THIOGUANINE,rxcui:10485,THIOGUANINE,True,False,True,,
RRM1,hgnc:10451,RRM1,PharmGKB,5-Jun-23,,0.231294329,cladribine,rxcui:44157,CLADRIBINE,True,False,False,,
CYP1A2,hgnc:2596,CYP1A2,PharmGKB,5-Jun-23,,0.004918078,doxepin,rxcui:203179,DOXEPIN HYDROCHLORIDE,True,False,False,N06AA12,Antidepressants
UNIPROT:P42262,hgnc:4572,GRIA2,TEND,1-Aug-11,,0.34592407,THIOPENTAL,rxcui:10493,THIOPENTAL,True,False,False,,
UNIPROT:Q08289,hgnc:1402,CACNB2,TdgClinicalTrial,14-Jan,,0.300918642,AMLODIPINE,rxcui:104416,AMLODIPINE BESYLATE,True,False,False,,
UNIPROT:P00747,hgnc:9071,PLG,TdgClinicalTrial,14-Jan,,1.37162916,ALTEPLASE,rxcui:8410,ALTEPLASE,True,False,False,,
UNIPROT:P42081,hgnc:1705,CD86,TdgClinicalTrial,14-Jan,,4.368892881,BELATACEPT,rxcui:1112973,BELATACEPT,True,False,False,,
PRKAB1,hgnc:9378,PRKAB1,NCI,14-Sep-17,,0.867353734,PROPYLTHIOURACIL,rxcui:8794,PROPYLTHIOURACIL,True,False,False,,
FNTB,hgnc:3785,FNTB,PharmGKB,5-Jun-23,,3.932003593,lonafarnib,rxcui:2467553,LONAFARNIB,True,False,False,,
DNMT3A,hgnc:2978,DNMT3A,PharmGKB,5-Jun-23,,0.50844874,warfarin,rxcui:11289,WARFARIN,True,False,False,,
NTRK1,hgnc:8031,NTRK1,OncoKB,23-Jul-20,,0.100599507,Entrectinib,rxcui:2197862,ENTRECTINIB,True,False,True,,
MELATONIN RECEPTOR TYPE 1A,hgnc:7463,MTNR1A,TTD,2020.06.01,,16.85144397,Ramelteon,rxcui:596205,RAMELTEON,True,False,False,,
PDE4A,hgnc:8780,PDE4A,ChEMBL,32,inhibitor,0.134045577,THEOPHYLLINE SODIUM GLYCINATE,rxcui:155075,THEOPHYLLINE SODIUM GLYCINATE,True,False,False,R03DA04,Drugs for obstructive airway diseases
PDE4A,hgnc:8780,PDE4A,ChEMBL,32,inhibitor,0.134045577,THEOPHYLLINE SODIUM GLYCINATE,rxcui:155075,THEOPHYLLINE SODIUM GLYCINATE,True,False,False,,Bronchodilator
FGFR1,hgnc:3688,FGFR1,ChEMBL,32,inhibitor,0.312063777,NINTEDANIB ESYLATE,rxcui:1592736,NINTEDANIB ESYLATE,True,False,True,L01XE31,Antineoplastic agents
UNIPROT:Q14524,hgnc:10593,SCN5A,TdgClinicalTrial,14-Jan,,0.223409295,FOSPHENYTOIN,rxcui:72236,FOSPHENYTOIN,True,False,False,,
UNIPROT:P54289,hgnc:1399,CACNA2D1,TdgClinicalTrial,14-Jan,,0.208042518,XP13512,rxcui:1101333,GABAPENTIN ENACARBIL,True,False,False,,
BRAF,hgnc:1097,BRAF,JAX-CKB,5-Jun-23,,0.007282387,Gemcitabine,rxcui:12574,GEMCITABINE,True,False,True,,
UNIPROT:P20309,hgnc:1952,CHRM3,TEND,1-Aug-11,,0.478216653,SOLIFENACIN,rxcui:322167,SOLIFENACIN,True,False,False,,
KMT2A,hgnc:7132,KMT2A,JAX-CKB,5-Jun-23,,0.117023916,Venetoclax,rxcui:1747556,VENETOCLAX,True,False,True,,
MAP2K1,hgnc:6840,MAP2K1,JAX-CKB,5-Jun-23,,0.867353734,Cobimetinib,rxcui:1722365,COBIMETINIB,True,False,True,,
MLH1,hgnc:7127,MLH1,JAX-CKB,5-Jun-23,,7.372506737,Avelumab,rxcui:1875534,AVELUMAB,True,False,True,,
NRAS,hgnc:7989,NRAS,JAX-CKB,5-Jun-23,,0.05188861,Regorafenib,rxcui:1312397,REGORAFENIB,True,False,True,,
NRAS,hgnc:7989,NRAS,JAX-CKB,5-Jun-23,,0.015174971,Fluorouracil,rxcui:4492,FLUOROURACIL,True,False,True,L01BC02,Pyrimidine analogues
NRAS,hgnc:7989,NRAS,JAX-CKB,5-Jun-23,,0.027926162,Sorafenib,rxcui:495881,SORAFENIB,True,False,True,L01XE05,Antineoplastic agents
NRAS,hgnc:7989,NRAS,JAX-CKB,5-Jun-23,,0.018813414,Sirolimus,rxcui:35302,SIROLIMUS,True,True,True,,
NRAS,hgnc:7989,NRAS,JAX-CKB,5-Jun-23,,0.089363718,Ceritinib,rxcui:1535457,CERITINIB,True,False,True,,
PIK3CA,hgnc:8975,PIK3CA,JAX-CKB,5-Jun-23,,0.036497558,Abemaciclib,rxcui:1946825,ABEMACICLIB,True,False,True,,
PIK3CA,hgnc:8975,PIK3CA,JAX-CKB,5-Jun-23,,0.036497558,Venetoclax,rxcui:1747556,VENETOCLAX,True,False,True,,
PIK3CA,hgnc:8975,PIK3CA,JAX-CKB,5-Jun-23,,0.036497558,Enzalutamide,rxcui:1307298,ENZALUTAMIDE,True,False,True,,
PIK3CA,hgnc:8975,PIK3CA,JAX-CKB,5-Jun-23,,0.028256174,Regorafenib,rxcui:1312397,REGORAFENIB,True,False,True,,
PTEN,hgnc:9588,PTEN,JAX-CKB,5-Jun-23,,0.092445226,Nivolumab,rxcui:1597876,NIVOLUMAB,True,True,True,,
PTEN,hgnc:9588,PTEN,JAX-CKB,5-Jun-23,,0.042816736,Pemetrexed Disodium,rxcui:282443,PEMETREXED DISODIUM,True,False,True,,
PTEN,hgnc:9588,PTEN,JAX-CKB,5-Jun-23,,0.027117266,Atezolizumab,rxcui:1792776,ATEZOLIZUMAB,True,True,True,,
PTEN,hgnc:9588,PTEN,JAX-CKB,5-Jun-23,,0.027733568,Trametinib,rxcui:1425098,TRAMETINIB DIMETHYL SULFOXIDE,True,False,True,L01XE25,Antineoplastic agents
RET,hgnc:9967,RET,JAX-CKB,5-Jun-23,,0.413895115,Ponatinib,rxcui:1364347,PONATINIB,True,False,True,,
ROS1,hgnc:10261,ROS1,JAX-CKB,5-Jun-23,,0.134965798,Pemetrexed Disodium,rxcui:282443,PEMETREXED DISODIUM,True,False,True,,
RET,hgnc:9967,RET,JAX-CKB,5-Jun-23,,0.035745487,Trametinib,rxcui:1425098,TRAMETINIB DIMETHYL SULFOXIDE,True,False,True,L01XE25,Antineoplastic agents
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.024098081,Ifosfamide,rxcui:5657,IFOSFAMIDE,True,False,True,,
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.01512195,Cisplatin,rxcui:2555,CISPLATIN,True,False,True,,
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.010124541,Doxorubicin,rxcui:142433,DOXORUBICIN HYDROCHLORIDE,True,False,True,,
VHL,hgnc:12687,VHL,JAX-CKB,5-Jun-23,,0.158548532,Regorafenib,rxcui:1312397,REGORAFENIB,True,False,True,,
TP53,hgnc:11998,TP53,JAX-CKB,5-Jun-23,,0.002761238,Sorafenib,rxcui:495881,SORAFENIB,True,False,True,L01XE05,Antineoplastic agents
IDH1,hgnc:5382,IDH1,CGI,5-Jun-23,,1.594055511,AG-120,rxcui:2049873,IVOSIDENIB,True,False,True,,
KRAS,hgnc:6407,KRAS,CGI,5-Jun-23,,0.080135943,Abemaciclib,rxcui:1946825,ABEMACICLIB,True,False,True,,
KIT,hgnc:6342,KIT,CGI,5-Jun-23,,1.031544153,Nilotinib,rxcui:662281,NILOTINIB,True,False,True,,
NTRK3,hgnc:8033,NTRK3,CGI,5-Jun-23,,2.286048601,Larotrectinib,rxcui:2105628,LAROTRECTINIB,True,False,True,,
NF1,hgnc:7765,NF1,CGI,5-Jun-23,,0.240407828,Selumetinib,rxcui:2289380,SELUMETINIB,True,False,True,,
ROS1,hgnc:10261,ROS1,CGI,5-Jun-23,,1.410392593,Lorlatinib,rxcui:2103164,LORLATINIB,True,False,True,,
CHRM3,hgnc:1952,CHRM3,ChEMBL,32,inhibitor,0.159405551,PROPANTHELINE BROMIDE,rxcui:8762,PROPANTHELINE BROMIDE,True,False,False,,
CHRM3,hgnc:1952,CHRM3,ChEMBL,32,inhibitor,0.398513878,HEXOCYCLIUM METHYLSULFATE,rxcui:235430,HEXOCYCLIUM METHYLSULFATE,True,False,False,,
CYSLTR1,hgnc:17451,CYSLTR1,ChEMBL,32,inhibitor,1.276624543,MONTELUKAST SODIUM,rxcui:115713,MONTELUKAST SODIUM,True,False,False,,
F2,hgnc:3535,F2,ChEMBL,32,inhibitor,2.246859196,LEPIRUDIN,rxcui:114934,DESIRUDIN,True,False,False,,
TOP 1.00,hgnc:11986,TOP 1.00,ChEMBL,32,inhibitor,0.119617667,IRINOTECAN HYDROCHLORIDE,rxcui:153329,IRINOTECAN HYDROCHLORIDE,True,False,True,,
VEGFA,hgnc:12680,VEGFA,ChEMBL,32,inhibitor,2.31294329,PEGAPTANIB SODIUM,rxcui:498509,PEGAPTANIB,True,False,False,,
CHRM3,hgnc:1952,CHRM3,ChEMBL,32,inhibitor,0.265675918,OXYPHENCYCLIMINE HYDROCHLORIDE,rxcui:91164,OXYPHENCYCLIMINE HYDROCHLORIDE,True,False,False,,
ERBB2,hgnc:3430,ERBB2,ChEMBL,32,inhibitor,0.213868044,TRASTUZUMAB EMTANSINE,rxcui:1371041,ADO-TRASTUZUMAB EMTANSINE,True,True,True,L01XC14,Antineoplastic agents
HRH1,hgnc:5182,HRH1,ChEMBL,32,inhibitor,0.475645596,AZATADINE MALEATE,rxcui:58275,AZATADINE MALEATE,True,False,False,,
HRH1,hgnc:5182,HRH1,ChEMBL,32,inhibitor,0.475645596,DIPHENYLPYRALINE HYDROCHLORIDE,rxcui:203155,DIPHENYLPYRALINE HYDROCHLORIDE,True,False,False,,
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.044412691,THIETHYLPERAZINE MALATE,ncit:C66598,THIETHYLPERAZINE MALATE,True,False,False,,
GNRHR,hgnc:4421,GNRHR,ChEMBL,32,agonist,0.230390836,GOSERELIN ACETATE,rxcui:203146,GOSERELIN ACETATE,True,False,True,,
EGFR,hgnc:3236,EGFR,ChEMBL,32,inhibitor,0.218133912,PANITUMUMAB,rxcui:263034,PANITUMUMAB,True,True,True,,
CHRM1,hgnc:1950,CHRM1,ChEMBL,32,inhibitor,0.126838826,PROPANTHELINE BROMIDE,rxcui:8762,PROPANTHELINE BROMIDE,True,False,False,,
ABL1,hgnc:76,ABL1,ChEMBL,32,inhibitor,0.223974888,IMATINIB MESYLATE,rxcui:282388,IMATINIB,True,False,True,L01XE01,Antineoplastic agents
EMBA,,,ChEMBL,32,inhibitor,,ETHAMBUTOL HYDROCHLORIDE,rxcui:142435,ETHAMBUTOL HYDROCHLORIDE,True,False,False,,
SLC12A3,hgnc:10912,SLC12A3,ChEMBL,32,inhibitor,0.655333932,CHLORTHALIDONE,rxcui:2409,CHLORTHALIDONE,True,False,False,,
SLC12A3,hgnc:10912,SLC12A3,ChEMBL,32,inhibitor,1.09222322,HYDROFLUMETHIAZIDE,rxcui:5495,HYDROFLUMETHIAZIDE,True,False,False,,
HTR1B,hgnc:5287,HTR1B,ChEMBL,32,agonist,1.387765974,ZOLMITRIPTAN,rxcui:135775,ZOLMITRIPTAN,True,False,False,,
SLC12A3,hgnc:10912,SLC12A3,ChEMBL,32,inhibitor,0.245750225,HYDROCHLOROTHIAZIDE,rxcui:5487,HYDROCHLOROTHIAZIDE,True,False,False,,
SLC6A4,hgnc:11050,SLC6A4,ChEMBL,32,inhibitor,0.082837154,ESCITALOPRAM OXALATE,rxcui:2556,CITALOPRAM,True,False,False,,
GRIN2A,hgnc:4585,GRIN2A,ChEMBL,32,inhibitor,0.578235823,DEXTROMETHORPHAN POLISTIREX,rxcui:236146,DEXTROMETHORPHAN POLISTIREX,True,False,False,,
DHODH,hgnc:2867,DHODH,ChEMBL,32,inhibitor,3.402695417,LEFLUNOMIDE,rxcui:27169,LEFLUNOMIDE,True,False,False,L04AA13,Immunosuppressants
SERPINC1,hgnc:775,SERPINC1,ChEMBL,32,activator,2.680911541,DANAPAROID SODIUM,rxcui:103843,DANAPAROID SODIUM,True,False,False,,
GRIN2A,hgnc:4585,GRIN2A,ChEMBL,32,inhibitor,0.867353734,DEXTROMETHORPHAN HYDROBROMIDE,rxcui:102490,DEXTROMETHORPHAN HYDROBROMIDE,True,False,False,,
TYR,hgnc:12442,TYR,ChEMBL,32,inhibitor,5.361823081,MEQUINOL,rxcui:15080,MEQUINOL,True,False,False,,
DPP4,hgnc:3009,DPP4,ChEMBL,32,inhibitor,2.359202156,SAXAGLIPTIN HYDROCHLORIDE,rxcui:1043560,SAXAGLIPTIN HYDROCHLORIDE,True,False,False,,
VDR,hgnc:12679,VDR,ChEMBL,32,agonist,0.062611522,CALCIFEDIOL,rxcui:1855064,CALCIFEDIOL ANHYDROUS,True,False,False,,
INSR,hgnc:6091,INSR,ChEMBL,32,agonist,0.85478339,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,chembl:CHEMBL1201627,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,True,False,False,,
ILES,,,ChEMBL,32,inhibitor,,MUPIROCIN CALCIUM,rxcui:221128,MUPIROCIN CALCIUM,True,False,False,,
HTR2A,hgnc:5293,HTR2A,ChEMBL,32,inhibitor,0.145990232,ARIPIPRAZOLE,rxcui:1673265,ARIPIPRAZOLE LAUROXIL,True,False,False,,
HTR2C,hgnc:5295,HTR2C,ChEMBL,32,inhibitor,0.185471868,METHYSERGIDE MALEATE,rxcui:203190,METHYSERGIDE MALEATE,True,False,False,,
HTR2C,hgnc:5295,HTR2C,ChEMBL,32,inhibitor,0.139103901,TRIMIPRAMINE MALEATE,rxcui:71532,TRIMIPRAMINE MALEATE,True,False,False,,
PPPK-DHPS,,,ChEMBL,32,inhibitor,,SULFACYTINE,rxcui:78902,SULFACYTINE,True,False,False,,
BRAF,hgnc:1097,BRAF,CancerCommons,25-Jul-13,inhibitor,2.796582331,DABRAFENIB,rxcui:1424911,DABRAFENIB,True,False,True,L01XE23,Antineoplastic agents
MAP2K1,hgnc:6840,MAP2K1,CancerCommons,25-Jul-13,inhibitor,0.867353734,GDC-0973,rxcui:1722365,COBIMETINIB,True,False,True,,
COMT,hgnc:2228,COMT,ChEMBL,32,inhibitor,3.024618149,TOLCAPONE,rxcui:72937,TOLCAPONE,True,False,False,,
NR3C1,hgnc:7978,NR3C1,ChEMBL,32,agonist,0.230390836,DEXAMETHASONE ACETATE,rxcui:22690,DEXAMETHASONE ACETATE,True,False,False,,
NR3C1,hgnc:7978,NR3C1,ChEMBL,32,agonist,0.921563342,METHYLPREDNISOLONE ACETATE,rxcui:155323,METHYLPREDNISOLONE ACETATE,True,False,False,,
SLC6A2,hgnc:11048,SLC6A2,ChEMBL,32,other/unknown,0.556415603,BETHANIDINE SULFATE,rxcui:81966,BETHANIDINE SULFATE,True,False,False,,
SLC6A2,hgnc:11048,SLC6A2,ChEMBL,32,other/unknown,0.185471868,DEXTROAMPHETAMINE SACCHARATE,rxcui:221088,DEXTROAMPHETAMINE SACCHARATE,True,False,False,,
F8,hgnc:3546,F8,ChEMBL,32,inhibitor,1.843126684,DROTRECOGIN ALFA (ACTIVATED),ncit:C80267,DROTRECOGIN ALFA (ACTIVATED),True,False,False,,
F5,hgnc:3542,F5,ChEMBL,32,inhibitor,3.276669661,DROTRECOGIN ALFA (ACTIVATED),ncit:C80267,DROTRECOGIN ALFA (ACTIVATED),True,False,False,,
PGR,hgnc:8910,PGR,ChEMBL,32,agonist,0.713468394,DROSPIRENONE,rxcui:11636,DROSPIRENONE,True,False,False,,
CHRNA4,hgnc:1958,CHRNA4,ChEMBL,32,agonist,0.200612428,NICOTINE POLACRILEX,rxcui:31765,NICOTINE POLACRILEX,True,False,False,,
PDE4D,hgnc:8783,PDE4D,ChEMBL,32,inhibitor,0.127662454,AMLEXANOX,rxcui:46307,AMLEXANOX,True,False,False,A01AC03,Stomatological preparations
PDE4D,hgnc:8783,PDE4D,ChEMBL,32,inhibitor,0.127662454,AMLEXANOX,rxcui:46307,AMLEXANOX,True,False,False,,Anti-Inflammatory Agent
HMGCR,hgnc:5006,HMGCR,ChEMBL,32,inhibitor,0.698306649,ATORVASTATIN CALCIUM,rxcui:1297766,ATORVASTATIN CALCIUM TRIHYDRATE,True,False,False,,
HDAC2,hgnc:4853,HDAC2,ChEMBL,32,inhibitor,0.28770758,ROMIDEPSIN,rxcui:877510,ROMIDEPSIN,True,False,True,L01XX42,Antineoplastic agents
PDE4A,hgnc:8780,PDE4A,ChEMBL,32,inhibitor,0.765974726,DYPHYLLINE,rxcui:3714,DYPHYLLINE,True,False,False,R03DA02,Drugs for obstructive airway diseases
PDE4A,hgnc:8780,PDE4A,ChEMBL,32,inhibitor,0.765974726,DYPHYLLINE,rxcui:3714,DYPHYLLINE,True,False,False,,Xanthine Derivative (Bronchodilator)
PDE4D,hgnc:8783,PDE4D,ChEMBL,32,inhibitor,0.601837285,DYPHYLLINE,rxcui:3714,DYPHYLLINE,True,False,False,R03DA02,Drugs for obstructive airway diseases
PDE4D,hgnc:8783,PDE4D,ChEMBL,32,inhibitor,0.601837285,DYPHYLLINE,rxcui:3714,DYPHYLLINE,True,False,False,,Xanthine Derivative (Bronchodilator)
PDE4A,hgnc:8780,PDE4A,ChEMBL,32,inhibitor,0.134045577,AMINOPHYLLINE,rxcui:689,AMINOPHYLLINE,True,False,False,R03DA05,Drugs for obstructive airway diseases
PDE4A,hgnc:8780,PDE4A,ChEMBL,32,inhibitor,0.134045577,AMINOPHYLLINE,rxcui:689,AMINOPHYLLINE,True,False,False,,Bronchodilator
HDAC8,hgnc:13315,HDAC8,ChEMBL,32,inhibitor,0.310421336,ROMIDEPSIN,rxcui:877510,ROMIDEPSIN,True,False,True,L01XX42,Antineoplastic agents
HDAC11,hgnc:19086,HDAC11,ChEMBL,32,inhibitor,0.184312668,ROMIDEPSIN,rxcui:877510,ROMIDEPSIN,True,False,True,L01XX42,Antineoplastic agents
CA1,hgnc:1368,CA1,ChEMBL,32,inhibitor,0.907385445,ETHOXZOLAMIDE,ncit:C65561,ETHOXZOLAMIDE,True,False,False,,
CA9,hgnc:1383,CA9,ChEMBL,32,inhibitor,0.567115903,ETHOXZOLAMIDE,ncit:C65561,ETHOXZOLAMIDE,True,False,False,,
TUBA3E,hgnc:20765,TUBA3E,ChEMBL,32,inhibitor,0.042309938,TRASTUZUMAB EMTANSINE,rxcui:1371041,ADO-TRASTUZUMAB EMTANSINE,True,True,True,L01XC14,Antineoplastic agents
TUBB8,hgnc:20773,TUBB8,ChEMBL,32,inhibitor,0.037856261,VINCRISTINE SULFATE,rxcui:11203,VINCRISTINE SULFATE,True,False,False,L01CA02,Antineoplastic agents
ADRB3,hgnc:288,ADRB3,ChEMBL,32,inhibitor,0.08425722,CARVEDILOL PHOSPHATE,rxcui:20352,CARVEDILOL,True,False,False,,
ADRB2,hgnc:286,ADRB2,ChEMBL,32,inhibitor,0.14893953,CARTEOLOL HYDROCHLORIDE,rxcui:142132,CARTEOLOL HYDROCHLORIDE,True,False,False,,
GRIN2D,hgnc:4588,GRIN2D,ChEMBL,32,negative modulator,0.242716271,MEMANTINE HYDROCHLORIDE,rxcui:236685,MEMANTINE HYDROCHLORIDE,True,False,False,,
ADRA2C,hgnc:283,ADRA2C,ChEMBL,32,agonist,0.076597473,LEVONORDEFRIN,rxcui:132889,LEVONORDEFRIN,True,False,False,,
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.054661774,PIMOZIDE,rxcui:8331,PIMOZIDE,True,False,False,,
ADRA1A,hgnc:277,ADRA1A,ChEMBL,32,inhibitor,0.081016558,TRIMIPRAMINE MALEATE,rxcui:71532,TRIMIPRAMINE MALEATE,True,False,False,,
ADRA1B,hgnc:278,ADRA1B,ChEMBL,32,agonist,0.230390836,PHENYLEPHRINE HYDROCHLORIDE,rxcui:8164,PHENYLEPHRINE HYDROCHLORIDE,True,False,False,,
PTGS2,hgnc:9605,PTGS2,ChEMBL,32,inhibitor,0.804273462,SUPROFEN,rxcui:10255,SUPROFEN,True,False,False,,
PTGS1,hgnc:9604,PTGS1,ChEMBL,32,inhibitor,0.110587601,MESALAMINE,rxcui:52582,MESALAMINE,True,False,False,,
PTGS2,hgnc:9605,PTGS2,ChEMBL,32,inhibitor,0.080427346,MESALAMINE,rxcui:52582,MESALAMINE,True,False,False,,
GUCY1B1,hgnc:4687,GUCY1B1,ChEMBL,32,activator,0.453692722,ISOSORBIDE MONONITRATE,rxcui:28004,ISOSORBIDE MONONITRATE,True,False,False,,
GUCY1A2,hgnc:4684,GUCY1A2,ChEMBL,32,activator,0.393200359,ISOSORBIDE MONONITRATE,rxcui:28004,ISOSORBIDE MONONITRATE,True,False,False,,
ADRA2A,hgnc:281,ADRA2A,ChEMBL,32,agonist,0.423301822,OXYMETAZOLINE HYDROCHLORIDE,rxcui:106101,OXYMETAZOLINE HYDROCHLORIDE,True,False,False,,
ADRA2A,hgnc:281,ADRA2A,ChEMBL,32,agonist,0.110864763,TETRAHYDROZOLINE HYDROCHLORIDE,rxcui:57983,TETRAHYDROZOLINE HYDROCHLORIDE,True,False,False,,
ABCC9,hgnc:60,ABCC9,ChEMBL,32,potentiator,0.655333932,MINOXIDIL,rxcui:6984,MINOXIDIL,True,False,False,,
ABCC9,hgnc:60,ABCC9,ChEMBL,32,potentiator,1.63833483,PINACIDIL,rxcui:33717,PINACIDIL,True,False,False,,
ADRA2B,hgnc:282,ADRA2B,ChEMBL,32,agonist,0.095746841,OXYMETAZOLINE HYDROCHLORIDE,rxcui:106101,OXYMETAZOLINE HYDROCHLORIDE,True,False,False,,
ABCC8,hgnc:59,ABCC8,ChEMBL,32,blocker,0.268091154,CHLORPROPAMIDE,rxcui:2404,CHLORPROPAMIDE,True,False,False,,
FLT1,hgnc:3763,FLT1,ChEMBL,32,inhibitor,0.312063777,AXITINIB,rxcui:1242999,AXITINIB,True,False,True,,
RRM1,hgnc:10451,RRM1,ChEMBL,32,inhibitor,0.495630705,GALLIUM NITRATE,rxcui:25544,GALLIUM NITRATE,True,False,False,,
CACNA1D,hgnc:1391,CACNA1D,ChEMBL,32,blocker,0.119392822,VERAPAMIL HYDROCHLORIDE,rxcui:11170,VERAPAMIL,True,False,True,,
CACNA1F,hgnc:1393,CACNA1F,ChEMBL,32,blocker,0.119392822,VERAPAMIL HYDROCHLORIDE,rxcui:11170,VERAPAMIL,True,False,True,,
CACNA1S,hgnc:1397,CACNA1S,ChEMBL,32,blocker,0.120367457,ISRADIPINE,rxcui:33910,ISRADIPINE,True,False,False,,
CACNA1C,hgnc:1390,CACNA1C,ChEMBL,32,blocker,0.097006668,VERAPAMIL HYDROCHLORIDE,rxcui:11170,VERAPAMIL,True,False,True,,
